,Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,year,month
118,5119,Tony Hawk's Project 8,PSP,Page 44 Studios,Activision,6.3,,0.56,0.41,0.08,,0.07,2006,11
119,5120,Yu-Gi-Oh! World Championship Tournament 2004,GBA,KCEJ,Konami,,,0.56,0.4,0.15,,0.01,2004,02
120,5121,Cabela's Big Game Hunter 2005 Adventures,PS2,Activision,Activision,,,0.56,0.28,0.21,,0.07,2004,11
121,5122,Top Spin 3,X360,Pam Development,2K Sports,8.1,,0.56,0.09,0.4,,0.07,2008,06
122,5123,Knockout Kings 2001,PS2,Black Ops Entertainment,EA Sports,,,0.56,0.28,0.21,,0.07,2001,02
123,5124,Disney Infinity 3.0,PS3,Avalanche Software,Disney Interactive Studios,,,0.56,0.22,0.25,,0.09,2015,08
124,5125,Army Men: Sarge's Heroes,PS,3DO,3DO,,,0.56,0.31,0.21,,0.04,2000,01
125,5126,Tom Clancy's HAWX,PS3,Ubisoft Romania,Ubisoft,7.5,8.4,0.56,0.21,0.22,0.05,0.09,2009,03
126,5127,Petz Dogz 2,PS2,Yuke's Media Creations,Ubisoft,,,0.56,0.28,0.21,,0.07,2007,11
127,5128,Battlefield 2: Modern Combat,XB,Digtal Illusions,Electronic Arts,7.5,,0.56,0.39,0.15,,0.02,2005,10
128,5129,Xenoblade Chronicles,3DS,Monolith Soft,Nintendo,8.6,,0.56,0.24,0.15,0.13,0.04,2015,04
129,5130,All-Star Baseball 2002,PS2,Acclaim Entertainment,Acclaim Entertainment,,,0.56,0.27,0.21,,0.07,2001,03
130,5131,Tetris Party Deluxe,Wii,"Tetris Online, Inc",Majesco,7.3,,0.56,0.33,0.16,0.02,0.05,2010,06
131,5132,Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,GungHo Online Entertainment,Nintendo,7.8,,0.56,0.09,0.11,0.35,0.02,2015,05
132,5133,Metroid: Samus Returns,3DS,Mercury Steam,Nintendo,9.1,,0.56,0.3,0.15,0.07,0.05,2017,09
133,5134,WWE 2K16,PS3,Yuke's,Take-Two Interactive,,,0.56,0.24,0.23,,0.09,2015,10
134,5135,Backyard NFL Football,GBA,Torus Games,Infogrames,,,0.56,0.4,0.15,,0.01,2002,09
135,5136,Bolt,Wii,Avalanche Software,Disney Interactive Studios,,,0.56,0.19,0.31,,0.06,2008,11
136,5137,Need for Speed: Most Wanted,GC,EA Canada,Electronic Arts,8.3,,0.56,0.43,0.11,,0.02,2005,11
137,5138,NASCAR Rumble,PS,Electronic Arts,Electronic Arts,,,0.56,0.31,0.21,,0.04,2000,01
138,5139,Darksiders II,PC,Vigil Games,THQ,7.8,,0.15,0.03,0.1,,0.02,2012,08
139,5140,WWE Raw 2,XB,"Anchor, Inc.",THQ,,,0.56,0.43,0.11,,0.02,2003,09
140,5141,Mega Man X2,SNES,Capcom,Capcom,,,0.56,0.09,0.02,0.45,0.0,1994,01
141,5142,Resident Evil 2,N64,Angel Studios,Capcom,9.0,,0.56,0.39,0.09,0.07,0.01,1999,10
142,5143,Yakuza 4,PS3,Sega,Sega,7.7,,0.95,0.15,0.13,0.63,0.05,2011,03
143,5144,Manhunt 2,PS2,Rockstar London,Rockstar Games,,,0.56,0.27,0.21,,0.07,2007,10
144,5145,Fullmetal Alchemist and the Broken Angel,PS2,Racjin,Square Enix,,,0.56,0.15,0.12,0.26,0.04,2005,01
145,5146,Assassin's Creed: Unity,PC,Ubisoft Montreal,Ubisoft,,,0.56,0.2,0.31,,0.04,2014,11
146,5147,Wolfenstein,X360,Raven Software,Activision,7.3,,0.56,0.28,0.22,,0.06,2009,08
147,5148,Dogz,DS,MTO,Ubisoft,,,0.56,0.5,0.01,,0.04,2006,11
148,5149,Hamtaro: Ham-Hams Unite!,GBC,Shogakukan,Nintendo,,,0.56,,,0.56,0.0,2002,10
149,5150,Batman Begins,PS2,Eurocom Entertainment Software,Electronic Arts,,,0.56,0.27,0.21,,0.07,2005,06
150,5151,DOOM VFR,PS4,id Software,Bethesda Softworks,,8.0,0.56,0.22,0.25,,0.09,2017,12
151,5152,Dr. Seuss' The Cat in the Hat,PS2,Magenta Software,VU Games,,,0.56,0.27,0.21,,0.07,2003,11
152,5153,Tony Hawk's Proving Ground,X360,Neversoft Entertainment,Activision,7.2,,0.56,0.49,0.02,,0.04,2007,10
153,5154,Just Cause 4,PS4,Avalanche Studios,Square Enix,,,0.56,0.18,0.26,0.03,0.09,2018,12
154,5155,Barbie Groovy Games,GBA,Digital Illusions (DICE),Universal Interactive,3.0,,0.56,0.4,0.15,,0.01,2002,09
155,5156,Defense Grid: The Awakening,PC,Hidden Path Entertainment,Hidden Path Entertainment,8.0,,,,,,,2008,12
156,5157,Archer Maclean's Mercury,PSP,Awesome Studios,Ignition Entertainment,7.7,,0.56,0.17,0.24,,0.15,2005,04
157,5158,Yu-Gi-Oh! Reshef of Destruction,GBA,Konami,Konami,,,0.56,0.4,0.15,,0.01,2004,06
158,5159,Blinx: The Time Sweeper,XB,Artoon,Microsoft Game Studios,6.8,,0.56,0.39,0.15,,0.02,2002,10
159,5160,ESPN NFL Football,PS2,Visual Concepts,Sega,,,0.56,0.27,0.21,,0.07,2003,09
160,5161,Fatal Fury Special,SNES,Takara,Takara,,,0.56,,,0.56,,1995,04
161,5162,Major League Baseball 2K5,XB,Kush Games,2K Sports,,,0.56,0.52,0.02,,0.02,2005,02
162,5163,DS Bimoji Training,DS,Nuevo Retro Games / NST,Nintendo,,,0.56,,,0.56,,2008,03
163,5164,Enslaved: Odyssey to the West,PS3,Ninja Theory,Namco Bandai,7.9,,0.56,0.24,0.23,0.01,0.08,2010,10
164,5165,Dora The Explorer: Dora Saves the Snow Princess,Wii,High Voltage Software,2K Play,,,0.56,0.49,0.02,,0.04,2008,10
165,5166,No More Heroes,Wii,Grasshopper Manufacture,Ubisoft,8.2,8.3,0.56,0.29,0.17,0.04,0.05,2008,01
166,5167,Soldier of Fortune: Gold Edition,PS2,Pipe Dream Interactive,Majesco,,,0.56,0.27,0.21,,0.07,2001,11
167,5168,Sonic Forces,PS4,Sonic Team,Sega,,,0.56,0.15,0.31,0.01,0.09,2017,11
168,5169,Viscera Cleanup Detail: Santa's Rampage,PC,RuneStorm,Unknown,,,,,,,,,
169,5170,Kingdom Come: Deliverance,PS4,Warhorse Studios,Deep Silver,,,0.56,0.18,0.28,,0.09,2018,02
170,5171,MX 2002 Featuring Ricky Carmichael,PS2,Pacific Coast Power & Light,THQ,8.0,,0.56,0.27,0.21,,0.07,2001,07
171,5172,Frontlines: Fuel of War,X360,Kaos Studios,THQ,,,0.56,0.34,0.15,0.01,0.05,2008,02
172,5173,NCAA Football 07,XB,EA Sports,EA Sports,8.8,,0.56,0.42,0.12,,0.01,2006,07
173,5174,Lunar: Silver Star Story Complete,PS,Game Arts,Working Designs,7.6,10.0,0.55,0.27,0.18,0.06,0.04,1999,05
174,5175,NBA Showtime: NBA on NBC,PS,Eurocom Entertainment Software,Midway Games,,,0.55,0.31,0.21,,0.04,1999,10
175,5176,Dungeons of Dredmor,PC,Gaslamp Games,Unknown,8.0,,,,,,,2011,07
176,5177,Soul Reaver 2,PS2,Crystal Dynamics,Eidos Interactive,,,0.55,0.27,0.21,,0.07,2001,10
177,5178,Lords of the Fallen,PS4,DECK13 Interactive,Namco Bandai Games,,,0.55,0.2,0.24,0.02,0.09,2014,10
178,5179,Metal Gear Solid 3: Subsistence,PS2,Kojima Productions,Konami,9.4,,0.55,0.34,0.01,0.15,0.06,2006,03
179,5180,The Godfather (old US sales),XB,Headgate,Electronic Arts,,,0.55,0.42,0.11,,0.02,2006,03
180,5181,Daytona USA,SAT,Sega-AM2,Sega,,,0.55,,,0.55,,1995,05
181,5182,WWF Raw (2002),XB,Anchor,THQ,6.5,,0.55,0.4,0.13,,0.02,2002,02
182,5183,Layton's Mystery Journey: Katrielle and the Millionaire's Conspiracy,3DS,Level 5,Level 5,,,0.55,0.12,0.25,0.15,0.03,2017,10
183,5184,Shin Super Robot Taisen,PS,Winky Soft,Banpresto,,,0.55,,,0.52,0.04,1996,12
